DUPLEX COSTA BRAVA 3;Sant Antoni de Calonge;51,3
Preciosa casa, La Bahia en Caste...;Castell-Platja d?Aro;43,9000
Diandra, en el Corazon de la Cos...;St Feliu de Guixols;39,8000
Casa con piscina y vistas al mar.;Cala Salions, Tossa;19,4000
PGA Catalunya- Girona Spain;Caldes Malavella;24,2000
Costa Brava-St. Antoni. Sea front;Calonge;51,0000
1-st SEA LINE WITH OUTSTANDING P...;Lloret de Mar;2,6000
beautiful house in the Costa Brava;Romanya de la Selva;43,9000
Cala sandra;Platja d?Aro;43,2000
CAN DOU alojamiento rural no PG-799;Les Planes d'Hostoles;60,0000
CAN DOU el Antiguo Establo;Les Planes d'Hostoles;60,0000